state,puma12,county,stab,cntyname,PUMAname,pop16,afact
State code,PUMA (2012),County code,State abbreviation,County name,PUMA12 name,Population (2016 est.),puma12 to county allocation factor
37,04400,37137,NC,Pamlico NC,"Carteret, Beaufort & Pamlico Counties",12821,0.0992
37,04500,37133,NC,Onslow NC,Onslow County (South)--Jacksonville City,145056.4011,1
37,04600,37129,NC,New Hanover NC,Pender & New Hanover (North) Counties,56207.3523,0.4875
37,04600,37141,NC,Pender NC,Pender & New Hanover (North) Counties,59090,0.5125
37,04700,37129,NC,New Hanover NC,New Hanover County (South)--Wilmington City,167275.6477,1
37,04800,37019,NC,Brunswick NC,Brunswick County,126953,1
37,04900,37017,NC,Bladen NC,"Columbus, Bladen & Robeson (East) Counties",33741,0.3255
37,04900,37047,NC,Columbus NC,"Columbus, Bladen & Robeson (East) Counties",56505,0.5451
37,04900,37155,NC,Robeson NC,"Columbus, Bladen & Robeson (East) Counties",13414.0658,0.1294
37,05001,37051,NC,Cumberland NC,Cumberland County (Central)--Fayetteville City (Central & East),111380.3373,1
37,05002,37051,NC,Cumberland NC,Cumberland County (East)--Hope Mills & Spring Lake Towns,107411.9775,1
37,05003,37051,NC,Cumberland NC,Cumberland County (West)--Fayetteville City (West),108334.6852,1
37,05100,37155,NC,Robeson NC,Robeson County (West)--Lumberton City,119820.9342,1
37,05200,37093,NC,Hoke NC,"Hoke, Richmond & Scotland Counties",53262,0.3991
37,05200,37153,NC,Richmond NC,"Hoke, Richmond & Scotland Counties",44939,0.3368
37,05200,37165,NC,Scotland NC,"Hoke, Richmond & Scotland Counties",35244,0.2641
37,05300,37007,NC,Anson NC,Union (East) & Anson Counties--Monroe City,25448,0.2009
37,05300,37179,NC,Union NC,Union (East) & Anson Counties--Monroe City,101202.2315,0.7991
37,05400,37179,NC,Union NC,Union County (West)--Indian Trail & Stallings Towns,125403.7685,1
